,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수,index_dt,index_rf,index_gbm,y_pred_dt,y_pred_rf,y_pred_gbm
40,5214,206558.2087,443381.686,206658.2087,443281.686,1.0,0.0,0,0,0,9.9,0,-0.025801947712182357,-0.012047217620845933,-0.023952047018070202,1,1,1
41,5215,206558.2087,443281.686,206658.2087,443181.686,0.0,1.0,0,1,0,0.0,0,0.10066773599863237,0.09339016085846968,0.08532995192176465,1,1,1
42,5212,206558.2087,443581.686,206658.2087,443481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
43,5213,206558.2087,443481.686,206658.2087,443381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
44,5202,206558.2087,444581.686,206658.2087,444481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
45,5203,206558.2087,444481.686,206658.2087,444381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
46,5200,206558.2087,444781.686,206658.2087,444681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
47,5201,206558.2087,444681.686,206658.2087,444581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
48,5206,206558.2087,444181.686,206658.2087,444081.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
49,5207,206558.2087,444081.686,206658.2087,443981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
50,5204,206558.2087,444381.686,206658.2087,444281.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
51,5205,206558.2087,444281.686,206658.2087,444181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
52,5130,206458.2087,442881.686,206558.2087,442781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
53,5131,206458.2087,442781.686,206558.2087,442681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
54,5128,206458.2087,443081.686,206558.2087,442981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
55,5129,206458.2087,442981.686,206558.2087,442881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
56,5134,206458.2087,442481.686,206558.2087,442381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
57,5135,206458.2087,442381.686,206558.2087,442281.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
58,5132,206458.2087,442681.686,206558.2087,442581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
59,5133,206458.2087,442581.686,206558.2087,442481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
60,5122,206458.2087,443681.686,206558.2087,443581.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
61,5123,206458.2087,443581.686,206558.2087,443481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
62,5120,206458.2087,443881.686,206558.2087,443781.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
63,5121,206458.2087,443781.686,206558.2087,443681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
64,5126,206458.2087,443281.686,206558.2087,443181.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
65,5127,206458.2087,443181.686,206558.2087,443081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
66,5124,206458.2087,443481.686,206558.2087,443381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
67,5125,206458.2087,443381.686,206558.2087,443281.686,0.0,0.0,0,1,0,0.0,0,-0.007878630624526576,-0.0038867018197196795,0.0,1,1,1
68,5144,206458.2087,441481.686,206558.2087,441381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
69,5138,206458.2087,442081.686,206558.2087,441981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
70,5139,206458.2087,441981.686,206558.2087,441881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
71,5136,206458.2087,442281.686,206558.2087,442181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
72,5137,206458.2087,442181.686,206558.2087,442081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
