,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수
0,2951,204058.2087,447181.686,204158.2087,447081.686,0.0,0.0,0,0,0,1093.6,0
1,2948,204058.2087,447481.686,204158.2087,447381.686,1.0,0.0,0,0,0,1431.36,0
2,2949,204058.2087,447381.686,204158.2087,447281.686,0.0,0.0,0,0,0,636.04,0
3,2970,204058.2087,445281.686,204158.2087,445181.686,2.0,0.0,0,0,0,126.8,0
4,2971,204058.2087,445181.686,204158.2087,445081.686,1.0,0.0,0,0,0,2766.01,0
5,2968,204058.2087,445481.686,204158.2087,445381.686,0.0,0.0,0,0,0,0.0,0
6,2969,204058.2087,445381.686,204158.2087,445281.686,0.0,0.0,0,0,0,0.0,0
7,2974,204058.2087,444881.686,204158.2087,444781.686,1.0,0.0,0,0,0,1142.84,0
8,2975,204058.2087,444781.686,204158.2087,444681.686,1.0,0.0,0,0,0,33.0,0
9,2972,204058.2087,445081.686,204158.2087,444981.686,1.0,0.0,0,0,0,4626.2,0
10,2973,204058.2087,444981.686,204158.2087,444881.686,0.0,0.0,0,0,0,44.28,0
11,2962,204058.2087,446081.686,204158.2087,445981.686,1.0,0.0,0,0,0,0.0,0
12,2963,204058.2087,445981.686,204158.2087,445881.686,0.0,0.0,0,0,0,19.46,1
13,2960,204058.2087,446281.686,204158.2087,446181.686,0.0,0.0,0,0,0,0.0,0
14,2961,204058.2087,446181.686,204158.2087,446081.686,0.0,0.0,0,0,0,0.0,0
15,2966,204058.2087,445681.686,204158.2087,445581.686,1.0,0.0,115,0,0,0.0,0
16,2967,204058.2087,445581.686,204158.2087,445481.686,0.0,0.0,0,0,0,0.0,0
17,2964,204058.2087,445881.686,204158.2087,445781.686,1.0,0.0,0,0,0,768.55,0
18,2965,204058.2087,445781.686,204158.2087,445681.686,0.0,1.0,0,0,0,1403.68,0
19,5226,206558.2087,442181.686,206658.2087,442081.686,0.0,0.0,0,0,0,0.0,0
20,5227,206558.2087,442081.686,206658.2087,441981.686,0.0,0.0,0,0,0,0.0,0
21,5224,206558.2087,442381.686,206658.2087,442281.686,0.0,0.0,0,0,0,0.0,0
22,5225,206558.2087,442281.686,206658.2087,442181.686,0.0,0.0,0,0,0,0.0,0
23,5230,206558.2087,441781.686,206658.2087,441681.686,0.0,0.0,0,0,0,0.0,0
24,5231,206558.2087,441681.686,206658.2087,441581.686,0.0,0.0,0,0,0,0.0,0
25,5228,206558.2087,441981.686,206658.2087,441881.686,0.0,0.0,0,0,0,0.0,0
26,5229,206558.2087,441881.686,206658.2087,441781.686,0.0,0.0,0,0,0,0.0,0
27,5218,206558.2087,442981.686,206658.2087,442881.686,0.0,0.0,0,0,0,0.0,1
28,5219,206558.2087,442881.686,206658.2087,442781.686,0.0,0.0,0,0,0,0.0,0
29,5216,206558.2087,443181.686,206658.2087,443081.686,0.0,0.0,0,0,0,0.0,0
30,5217,206558.2087,443081.686,206658.2087,442981.686,0.0,0.0,0,0,0,0.0,1
31,5222,206558.2087,442581.686,206658.2087,442481.686,0.0,0.0,0,0,0,0.0,0
32,5223,206558.2087,442481.686,206658.2087,442381.686,0.0,0.0,0,0,0,0.0,0
33,5220,206558.2087,442781.686,206658.2087,442681.686,0.0,0.0,0,0,0,0.0,0
34,5221,206558.2087,442681.686,206658.2087,442581.686,0.0,0.0,0,0,0,0.0,0
35,5232,206558.2087,441581.686,206658.2087,441481.686,0.0,0.0,0,0,0,0.0,0
36,5210,206558.2087,443781.686,206658.2087,443681.686,1.0,0.0,0,0,0,0.0,0
37,5211,206558.2087,443681.686,206658.2087,443581.686,2.0,0.0,0,0,0,0.0,0
38,5208,206558.2087,443981.686,206658.2087,443881.686,0.0,0.0,0,0,0,0.0,0
39,5209,206558.2087,443881.686,206658.2087,443781.686,0.0,0.0,0,0,0,270.44,0
40,5214,206558.2087,443381.686,206658.2087,443281.686,1.0,0.0,0,0,0,9.9,0
41,5215,206558.2087,443281.686,206658.2087,443181.686,0.0,1.0,0,1,0,0.0,0
42,5212,206558.2087,443581.686,206658.2087,443481.686,0.0,0.0,0,0,0,0.0,0
